StartupID,Industry,Age_Months,Funding_Amount ($M),Monthly_Revenue ($K),User_Growth_Rate (%),Tech_Stack_Complexity,Growth_Potential
1,E-commerce,47,16.75,32.99,0.47,7,Low
2,Blockchain,34,1.47,83.87,34.65,9,High
3,HealthTech,54,4.39,117.69,34.63,7,High
4,FinTech,32,4.068,32.79,11.15,1,Medium
5,SaaS,49,21.49,123.87,18.28,8,Medium
6,SaaS,37,4.39,57.239999999999995,14.28,4,Medium
7,SaaS,57,8.85,5.0,24.02,3,High
8,AI/ML,42,5.2,71.03,27.75,9,High
9,HealthTech,54,7.53,57.04,17.58,3,Medium
10,HealthTech,18,4.1,104.54,19.69,8,Medium
11,SaaS,15,13.7,5.9399999999999995,8.79,6,Low
12,Blockchain,52,1.67,133.88,19.37,5,Medium
13,EdTech,44,0.82,97.75,16.63,4,Medium
14,SaaS,32,5.53,74.19,5.88,8,Low
15,SaaS,21,3.61,61.56,14.86,8,Medium
16,SaaS,19,0.7,42.795,11.17,1,Medium
17,E-commerce,58,7.41,53.29,8.91,9,Low
18,FinTech,21,5.904,44.48,3.54,5,Low
19,E-commerce,30,23.82,65.41,15.63,4,Medium
20,E-commerce,57,1.94,41.17,7.2,6,Low
21,HealthTech,28,4.83,92.45,10.29,6,Medium
22,SaaS,39,6.77,80.625,25.75,2,High
23,E-commerce,28,23.48,42.3,21.32,8,High
24,E-commerce,55,3.84,80.73,5.21,7,Low
25,FinTech,25,20.052000000000003,5.0,18.52,1,Medium
26,EdTech,11,18.3,60.23,16.33,5,Medium
27,SaaS,14,7.52,76.155,32.02,6,High
28,FinTech,55,1.1520000000000001,7.67,28.83,4,High
29,FinTech,3,16.452,5.0,0.34,2,Low
30,SaaS,3,22.22,120.465,23.61,4,High
31,HealthTech,49,5.07,78.88,27.65,1,High
32,SaaS,36,21.49,82.77,20.59,7,High
33,SaaS,34,12.07,152.25,11.65,2,Medium
34,AI/ML,56,19.86,63.23,39.13,4,High
35,Blockchain,50,11.75,87.49,21.51,9,High
36,EdTech,27,6.12,62.61,34.77,5,High
37,E-commerce,42,23.11,41.73,28.51,2,High
38,SaaS,47,11.8,27.405,19.64,9,Medium
39,HealthTech,55,11.33,31.9,9.2,9,Low
40,E-commerce,3,16.46,42.29,14.76,1,Medium
41,SaaS,18,17.39,136.335,12.78,3,Medium
42,FinTech,41,29.7,73.1,2.85,4,Low
43,SaaS,7,0.81,89.865,21.5,7,High
44,AI/ML,24,4.9,76.1,30.67,6,High
45,E-commerce,31,4.75,65.82,12.02,2,Medium
46,HealthTech,57,3.77,57.86,36.64,7,High
47,E-commerce,5,3.02,5.04,0.58,6,Low
48,FinTech,14,8.334,84.17,25.54,3,High
49,FinTech,28,22.842,36.24,31.72,6,High
50,SaaS,18,13.96,123.99,12.96,6,Medium
51,Blockchain,53,9.99,85.56,13.14,5,Medium
52,EdTech,39,6.59,29.9,25.43,4,High
53,AI/ML,24,20.2,78.49,20.06,3,High
54,AI/ML,59,9.27,39.17,4.97,8,Low
55,FinTech,31,31.5,39.35,6.57,2,Low
56,AI/ML,16,5.45,57.72,14.86,5,Medium
57,SaaS,30,13.31,87.795,1.3,8,Low
58,SaaS,7,20.74,76.74,10.26,6,Medium
59,SaaS,49,10.87,14.955000000000002,1.55,3,Low
60,E-commerce,51,4.76,46.36,11.3,7,Medium
61,E-commerce,32,14.75,118.35,11.63,4,Medium
62,E-commerce,48,19.7,33.52,18.52,9,Medium
63,EdTech,54,11.62,76.09,14.08,5,Medium
64,E-commerce,7,10.4,81.71,20.03,3,High
65,E-commerce,14,22.88,9.25,18.84,2,Medium
66,FinTech,18,36.342000000000006,35.92,25.31,2,High
67,SaaS,28,3.05,29.97,23.74,3,High
68,EdTech,28,10.93,105.62,22.68,2,High
69,SaaS,50,12.88,124.635,46.05,4,High
70,Blockchain,23,23.75,84.54,18.47,2,Medium
71,EdTech,41,16.93,53.62,40.94,9,High
72,SaaS,38,9.17,134.04,19.12,2,Medium
73,SaaS,35,11.76,74.625,14.17,9,Medium
74,EdTech,32,5.07,90.77,11.27,6,Medium
75,HealthTech,39,17.75,45.54,30.1,1,High
76,HealthTech,25,15.17,29.62,31.41,4,High
77,EdTech,12,19.7,104.33,21.0,1,High
78,SaaS,56,8.85,74.05499999999999,26.34,6,High
79,E-commerce,7,11.02,23.04,2.23,4,Low
80,SaaS,38,6.15,34.065,0.49,3,Low
81,AI/ML,36,0.82,22.8,27.46,5,High
82,HealthTech,54,5.18,75.33,13.73,9,Medium
83,E-commerce,33,4.55,47.03,22.49,6,High
84,SaaS,12,17.32,178.41,7.83,9,Low
85,E-commerce,21,7.4,85.59,31.57,5,High
86,E-commerce,34,26.26,57.71,0.4,2,Low
87,HealthTech,3,4.11,92.12,1.14,8,Low
88,HealthTech,58,22.0,35.13,29.44,5,High
89,AI/ML,7,2.74,5.64,11.1,4,Medium
90,FinTech,47,26.082,20.31,18.79,4,Medium
91,SaaS,6,3.98,81.63,13.93,9,Medium
92,HealthTech,18,23.39,43.32,7.64,4,Low
93,EdTech,26,10.35,74.73,13.0,4,Medium
94,FinTech,18,33.462,46.26,6.52,2,Low
95,EdTech,57,10.61,72.44,30.42,6,High
96,FinTech,4,23.076,95.03,33.04,2,High
97,FinTech,51,26.874,46.17,8.14,7,Low
